
Initial pcm(0x7EC0) Step = (0) /cnt=25 / F8 FF 31 22 21 02 00 33 56 B8 00 75 87 87 77 00 77 A9 45 55 00 66 55 56 45
;ADPCM5   Step  PcmCode
   5   48      0x8239
   5   47      0x842A
   6   47      0x8640
   6   46      0x8856
   5   46      0x89F0
   5   45      0x8B8A
   6   45      0x8D44
   6   44      0x8EFE
   6   44      0x908E
   6   43      0x921E
   7   43      0x93C2
   6   42      0x952E
   8   42      0x96DF
   7   41      0x985D
   8   41      0x99E7
   6   40      0x9B13
   7   40      0x9C4E
   6   39      0x9D5F
   6   39      0x9E57
   4   38      0x9F03
   1   38      0x9F36
   1   37      0x9F69
   12   37      0x9F1B
   13   36      0x9EAE
   16   36      0x9DF4
   19   40      0x9CE4
   17   40      0x9BA9
   19   44      0x9A19
   17   44      0x984C
   17   43      0x967F
   1a   43      0x9432
   1a   49      0x91E5
   15   49      0x8FC3
   16   48      0x8D3D
   18   48      0x8A3C
   18   50      0x873B
   17   50      0x8407
   17   49      0x80D3
   18   49      0x7D86
   19   53      0x79D6
   16   53      0x7624
   17   52      0x71E1
   16   52      0x6E84
   16   51      0x6B27
   16   51      0x681A
   17   50      0x6495
   17   50      0x6161
   17   49      0x5E2D
   14   49      0x5C6E
   13   48      0x5B13
   13   48      0x59D7
   13   47      0x589B
   11   47      0x5820
   1   46      0x589B
   2   46      0x5955
   4   45      0x5AA5
   5   45      0x5C1B
   5   44      0x5D91
   7   44      0x5F5E
   9   48      0x61A7
   7   48      0x644D
   5   47      0x663E
   6   47      0x6854
   7   46      0x6ABC
   9   46      0x6D81
   9   50      0x7046
   6   50      0x730D
   5   49      0x7566
   5   49      0x7788
   6   48      0x7A0E
   7   48      0x7CB4
   6   47      0x7F00
   6   47      0x8116
   6   46      0x832C
   6   46      0x8511
   7   45      0x8740
   9   45      0x89C6
   6   44      0x8B80
   6   44      0x8D10
   6   43      0x8EA0
   7   43      0x9044
   8   45      0x9221
   6   45      0x93DB
   6   44      0x9595
   5   44      0x96E7
   7   43      0x98B4
   8   43      0x9A91
   7   42      0x9C35
   8   42      0x9DE6
   6   41      0x9F31
   6   41      0xA05D
   5   40      0xA15B
   5   40      0xA242
   3   39      0xA2D5
   1   39      0xA30E
   11   38      0xA2D5
   13   38      0xA25D
   15   37      0xA19F
   17   37      0xA0B4
   1a   43      0x9F69
   17   43      0x9DC5
   18   45      0x9BE8
   17   45      0x99EA
   19   49      0x9764
   16   49      0x94DE
   16   48      0x9258
   17   48      0x8FB2
   18   50      0x8CB1
   18   50      0x890F
   17   49      0x85DB
   19   49      0x822B
   19   53      0x7E7B
   17   53      0x7A38
   17   52      0x75F5
   18   52      0x718F
   17   51      0x6DAE
   17   51      0x6A29
   17   50      0x66A4
   18   50      0x6302
   18   52      0x5F60
   15   52      0x5C88
   14   51      0x5A34
   13   51      0x5890
   12   50      0x5764
